"rcon","rclone.exe config","comment"
"rmov","rclone.exe move ","comment"
"cd1","C:\upload","comment"
"cd2","E:\upload","comment"
"cd3","F:\upload","comment"
"rrr","--progress --verbose","comment"
"usb1","D:\upload","comment"
"cbu","Cal Baptist University ","comment"
"Ucr","Univeristy of riverside","comment"
"ucla","University of Los Angles ","comment"
"acte","Accounting terms","comment"
"keyword","text","comment"
